時間,位置,速度
0.2690000000000002,-0.48297284175039656,-2.7541511008488047
0.2700000000000002,-0.48571733339441037,-2.7444916440137965
0.2710000000000002,-0.48845211069175626,-2.734777297345908
0.2720000000000002,-0.4911771189468883,-2.725008255132073
0.2730000000000002,-0.49389230365964143,-2.7151847127531354
0.2740000000000002,-0.4965976105263214,-2.7053068666799427
0.2750000000000002,-0.4992929854407908,-2.6953749144694163
0.2760000000000002,-0.5019783744955514,-2.6853890547606007
0.2770000000000002,-0.504653723982822,-2.6753494872706898
0.2780000000000002,-0.5073189803956131,-2.665256412791033
0.2790000000000002,-0.5099740904287962,-2.6551100331831208
0.2800000000000002,-0.5126190009801707,-2.644910551374545
0.2810000000000002,-0.5152536591515255,-2.6346581713549417
0.2820000000000002,-0.5178780122496974,-2.624353098171911
0.2830000000000002,-0.5204920077876244,-2.6139955379269173
0.2840000000000002,-0.5230955934853956,-2.6035856977711647
0.2850000000000002,-0.5256887172712971,-2.5931237859014566
0.2860000000000002,-0.5282713272828531,-2.5826100115560306
0.2870000000000002,-0.5308433718678635,-2.5720445850103735
0.2880000000000002,-0.5334047995854365,-2.5614277175730162
0.2890000000000002,-0.5359555592070179,-2.5507596215813075
0.2900000000000002,-0.538495599717415,-2.540040510397167
0.2910000000000002,-0.5410248703158178,-2.5292705984028188
0.2920000000000002,-0.5435433204168143,-2.5184501009965023
0.2930000000000002,-0.5460508996514025,-2.507579234588166
0.2940000000000002,-0.5485475578679977,-2.496658216595138
0.2950000000000002,-0.5510332451334354,-2.485687265437778
0.2960000000000002,-0.5535079117339705,-2.4746666005351092
0.2970000000000002,-0.555971508176271,-2.46359644230043
0.2980000000000002,-0.5584239851884079,-2.4524770121369044
0.2990000000000002,-0.560865293720841,-2.441308532433136
0.3000000000000002,-0.5632953849473997,-2.4300912265587193
0.3010000000000002,-0.5657142102662595,-2.4188253188597715
0.3020000000000002,-0.5681217213009139,-2.4075110346544464
0.3030000000000002,-0.5705178699011423,-2.396148600228428
0.3040000000000002,-0.5729026081439726,-2.384738242830405
0.3050000000000002,-0.5752758883346402,-2.3732801906675256
0.3060000000000002,-0.577637663007541,-2.361774672900833
0.3070000000000002,-0.5799878849271817,-2.350221919640682
0.3080000000000002,-0.5823265070891238,-2.3386221619421383
0.3090000000000002,-0.5846534827209242,-2.326975631800356
0.3100000000000002,-0.5869687652830702,-2.3152825621459376
0.3110000000000002,-0.5892723084699104,-2.303543186840276
0.3120000000000002,-0.5915640662105813,-2.291757740670878
0.3130000000000002,-0.593843992669928,-2.2799264593466666
0.3140000000000002,-0.5961120422494213,-2.268049579493268
0.3150000000000002,-0.5983681695880696,-2.2561273386482794
0.3160000000000002,-0.6006123295633261,-2.244159975256518
0.3170000000000002,-0.6028444772919913,-2.2321477286652516
0.3180000000000002,-0.6050645681311108,-2.2200908391194116
0.31900000000000023,-0.6072725576788676,-2.2079895477567892
0.32000000000000023,-0.6094684017754708,-2.195844096603212
0.32100000000000023,-0.6116520565040385,-2.1836547285677024
0.32200000000000023,-0.6138234781914762,-2.1714216874376215
0.32300000000000023,-0.61598262340935,-2.159145217873792
0.32400000000000023,-0.6181294489747555,-2.146825565405605
0.32500000000000023,-0.6202639119511817,-2.1344629764261103
0.32600000000000023,-0.6223859696493688,-2.1220576981870867
0.32700000000000023,-0.6244955796281628,-2.1096099787940994
0.32800000000000024,-0.6265926996953644,-2.097120067201536
0.32900000000000024,-0.628677287908572,-2.084588213207629
0.33000000000000024,-0.6307493025760215,-2.0720146674494577
0.33100000000000024,-0.6328087022574194,-2.059399681397937
0.33200000000000024,-0.6348554457647722,-2.046743507352789
0.33300000000000024,-0.6368894921632097,-2.0340463984374932
0.33400000000000024,-0.6389108007718038,-2.021308608594229
0.33500000000000024,-0.6409193311643826,-2.008530392578793
0.33600000000000024,-0.6429150431703381,-1.9957120059555054
0.33700000000000024,-0.6448978968754302,-1.9828537050920987
0.33800000000000024,-0.6468678526225848,-1.96995574715459
0.33900000000000025,-0.6488248710126869,-1.9570183901021383
0.34000000000000025,-0.6507689129053689,-1.9440418926818845
0.34100000000000025,-0.6526999394197927,-1.9310265144237773
0.34200000000000025,-0.6546179119354281,-1.9179725156353815
0.34300000000000025,-0.6565227920928247,-1.904880157396673
0.34400000000000025,-0.6584145417943795,-1.8917497015548164
0.34500000000000025,-0.6602931232050985,-1.8785814107189287
0.34600000000000025,-0.6621584987533533,-1.8653755482548267
0.34700000000000025,-0.6640106311316331,-1.8521323782797596
